Unnamed: 0	document_id	words	labels	sentence_id
0	495	3have	O	0
1	495	because	O	0
2	495	we	O	0
3	495	all	O	0
4	495	older	O	0
5	495	people	O	0
6	495	,	O	0
7	495	so	O	0
8	495	they	O	0
9	495	are	O	0
10	495	in	O	0
11	495	Florida	B-GPE	0
12	495	here	O	0
13	495	and	O	0
14	495	there	O	0
15	495	.	O	0
16	495	March	B-DATE	1
17	495	,	O	1
18	495	we	O	1
19	495	start	O	1
20	495	again	O	1
21	495	,	O	1
22	495	which	O	1
23	495	we	O	1
24	495	used	O	1
25	495	to	O	1
26	495	meet	O	1
27	495	in	O	1
28	495	Manhattan	B-GPE	1
29	495	.	O	1
30	495	Now	O	2
31	495	,	O	2
32	495	most	O	2
33	495	live	O	2
34	495	in	O	2
35	495	Brooklyn	B-GPE	2
36	495	so	O	2
37	495	we	O	2
38	495	meet	O	2
39	495	here	O	2
40	495	in	O	2
41	495	_	B-FAC	2
42	495	_	I-FAC	2
43	495	_	I-FAC	2
44	495	_	I-FAC	2
45	495	_	I-FAC	2
46	495	_	I-FAC	2
47	495	Heights	I-FAC	2
48	495	Congreg	I-FAC	2
49	495	ation	I-FAC	2
50	495	.	O	2
51	495	We	O	3
52	495	make	O	3
53	495	a	O	3
54	495	party	O	3
55	495	once	O	3
56	495	a	O	3
57	495	while	O	3
58	495	;	O	3
59	495	we	O	3
60	495	have	O	3
61	495	our	O	3
62	495	own	O	3
63	495	cemetery	O	3
64	495	and	O	3
65	495	so	O	3
66	495	on	O	3
67	495	.	O	3
68	495	That	O	4
69	495	™	O	4
70	495	s	O	4
71	495	almost	O	4
72	495	every	O	4
73	495	hometown	O	4
74	495	has	O	4
75	495	but	O	4
76	495	a	O	4
77	495	lot	O	4
78	495	,	O	4
79	495	like	O	4
80	495	the	O	4
81	495	youth	O	4
82	495	,	O	4
83	495	don	O	4
84	495	™	O	4
85	495	t	O	4
86	495	go	O	4
87	495	in	O	4
88	495	so	O	4
89	495	they	O	4
90	495	give	O	4
91	495	up	O	4
92	495	.	O	4
93	495	Which	O	5
94	495	I	O	5
95	495	™	O	5
96	495	m	O	5
97	495	trying	O	5
98	495	now	O	5
99	495	to	O	5
100	495	take	O	5
101	495	in	O	5
102	495	my	O	5
103	495	kids	O	5
104	495	to	O	5
105	495	it	O	5
106	495	.	O	5
107	495	Of	O	6
108	495	course	O	6
109	495	we	O	6
110	495	had	O	6
111	495	friends	O	6
112	495	;	O	6
113	495	we	O	6
114	495	played	O	6
115	495	together	O	6
116	495	,	O	6
117	495	we	O	6
118	495	went	O	6
119	495	to	O	6
120	495	school	O	6
121	495	together	O	6
122	495	,	O	6
123	495	yes	O	6
124	495	,	O	6
125	495	yes	O	6
126	495	.	O	6
127	495	Other	O	7
128	495	than	O	7
129	495	Jewish	B-NORP	7
130	495	friends	O	7
131	495	,	O	7
132	495	very	O	7
133	495	little	O	7
134	495	.	O	7
135	495	I	O	8
136	495	especially	O	8
137	495	had	O	8
138	495	a	O	8
139	495	few	O	8
140	495	because	O	8
141	495	,	O	8
142	495	as	O	8
143	495	I	O	8
144	495	said	O	8
145	495	,	O	8
146	495	we	O	8
147	495	lived	O	8
148	495	in	O	8
149	495	a	O	8
150	495	street	O	8
151	495	,	O	8
152	495	one	B-CARDINAL	8
153	495	side	O	8
154	495	was	O	8
155	495	Jews	B-NORP	8
156	495	and	O	8
157	495	one	B-CARDINAL	8
158	495	side	O	8
159	495	was	O	8
160	495	nonJews	B-NORP	8
161	495	.	O	8
162	495	But	O	9
163	495	mostly	O	9
164	495	like	O	9
165	495	the	O	9
166	495	little	O	9
167	495	towns	O	9
168	495	,	O	9
169	495	most	O	9
170	495	of	O	9
171	495	it	O	9
172	495	populated	O	9
173	495	from	O	9
174	495	the	O	9
175	495	Jews	B-NORP	9
176	495	.	O	9
